#this list is based on Kraus&Hillenbrand2007
#MJ     MH      MK      Teff    Mass
0.01    0.10    0.11    11900   3.8
0.54    0.58    0.56    9520    2.9
1.12    1.15    1.12    8970    2.4
1.53    1.52    1.48    8200    2.0
1.75    1.71    1.66    7580    1.8
2.10    2.01    1.96    7200    1.6
2.32    2.20    2.14    6890    1.5
2.85    2.67    2.61    6440    1.25
3.31    3.08    3.01    6200    1.17
3.53    3.27    3.20    6030    1.11
3.64    3.38    3.30    5860    1.06
3.86    3.56    3.48    5770    1.04
4.31    3.95    3.86    5570    0.98   
4.49    4.10    4.00    5250    0.90
4.80    4.35    4.24    4900    0.82
5.08    4.56    4.43    4590    0.75
5.20    4.64    4.51    4350    0.70
5.46    4.85    4.70    4060    0.63
6.04    5.37    5.18    3850    0.59
6.33    5.68    5.47    3680    0.54
6.73    6.09    5.86    3510    0.42
7.31    6.68    6.44    3350    0.29
8.10    7.49    7.22    3180    0.20
9.08    8.47    8.16    3010    0.15
10.15   9.50    9.16    2840    0.12
10.76   10.08   9.69    2720    0.11
11.19   10.46   10.03   2600    0.102
11.49   10.73   10.26   2400    0.088
11.76   10.96   10.44   2200    0.078
