k2id,jmag,jmag_er,hmag,hmag_er,kmag,kamg_er,vmag,plx,plx_er,bprp,ruwe,gof_al,d,mass,mass_er,teff,teff_er
211037886,6.877,0.019,6.599,0.013,6.516,0.013,8.08,21.994,0.024,0.8128853,0.9932552,-0.18134643,11.50617,1.0962,0.0066,5494.0,nan
210899260,7.531,0.009,7.197,0.009,7.121,0.007,8.85,19.967,0.018,0.9090738,1.0492755,1.3907179,10.6178665,1.0175,0.0011,5347.0,76.0
210666330,7.524,0.017,7.149,0.017,7.055,0.023,8.97,22.006,0.017,0.9833555,0.9210177,-2.2236497,4.9601808,0.9946,0.0036,5193.0,78.0
210675409,7.314,0.011,6.901,0.003,6.767,0.015,9.59,23.746,0.571,1.1383896,nan,245.4104,3227.2386389788253,1.014,0.0086,4340.0,76.0
247363759,7.522,0.015,7.153,0.015,7.072,0.011,9.05,22.64,0.202,1.0153942,7.6235824,116.95963,2616.15,0.9821,0.0046,5096.0,77.0
246794704,7.86,0.007,7.505,0.015,7.373,0.003,9.35,19.993,0.018,1.0282259,0.98594046,-0.36378288,9.531305,0.9701,0.002,5141.0,75.0
211041649,7.148,0.025,6.563,0.007,6.409,0.019,9.44,27.336,0.392,1.4296322,22.46139,289.75635,11094.452,1.0222,0.0058,4326.0,78.0
210786154,7.722,0.017,7.281,0.015,7.151,0.013,9.36,21.599,0.554,1.1155329,34.355576,416.484,26230.93,0.9858,0.0127,4971.0,77.0
211049709,7.84,0.015,7.441,0.017,7.323,0.003,9.43,21.101,0.017,1.0837736,0.9663456,-0.69975287,4.0968237,0.9317,0.002,5025.0,77.0
246875518,7.358,0.019,6.809,0.015,6.685,0.017,9.46,21.216,0.213,1.3636322,8.736815,179.48744,3695.8315,1.058,0.0036,4496.0,77.0
247857331,7.582,0.021,7.12,0.035,6.956,0.035,9.46,20.292,0.033,1.2950821,1.5002359,12.4181795,38.164227,1.038,0.005,4715.0,78.0
210652965,7.726,0.011,7.293,0.027,7.17,0.013,9.52,28.508,0.581,1.1795635,43.27126,488.2632,28514.117,0.683,0.0068,4802.0,76.0
247002634,7.798,0.033,7.298,0.011,7.171,0.019,9.59,21.664,0.13,1.188715,5.9752984,94.8388,1273.7245,0.9816,0.0055,4804.0,83.0
210674406,8.154,0.007,7.636,0.017,7.524,0.011,9.92,21.497,0.015,1.2481861,1.0220522,0.6856125,8.156504,0.838,0.0037,4832.0,75.0
210772796,8.206,0.011,7.709,0.019,7.6,0.013,10.05,20.952,0.019,1.2687778,1.2336773,7.120686,22.11067,0.8313,0.0044,4750.0,76.0
210359769,8.181,0.013,7.692,0.019,7.574,0.015,10.02,21.777,0.016,1.2863073,1.2162788,5.535112,14.396245,0.8111,0.0056,4755.0,76.0
211058178,8.106,0.015,7.54,0.009,7.395,0.013,10.25,24.576,0.017,1.3940506,1.1464577,4.140791,13.136834,0.6973,0.0019,4458.0,76.0
247134293,8.375,0.021,7.885,0.023,7.742,0.013,10.31,19.717,0.016,1.271184,0.95179313,-1.3822256,5.7140126,0.8279,0.0044,4657.0,78.0
210551925,8.224,0.017,7.689,0.015,7.515,0.015,10.7,21.818,0.021,1.3727016,1.2348258,6.30861,16.86887,0.8303,0.005,4175.0,76.0
248045685,8.43,0.007,7.877,0.017,7.717,0.023,10.64,21.079,0.017,1.4213276,0.9862962,-0.38006535,6.914447,0.699,0.0487,4398.0,75.0
247611242,8.69,0.035,8.134,0.021,7.995,0.029,10.51,18.237,0.016,1.3339214,0.9273865,-2.1358838,6.809484,0.798,0.0107,4775.0,83.0
247369717,8.427,0.015,7.835,0.013,7.686,0.021,10.67,22.87,0.021,1.4889374,1.2177482,5.7127633,32.32544,0.6774,0.0031,4369.0,76.0
246865157,8.485,0.011,7.968,0.011,7.839,0.005,10.89,20.323,0.022,1.3848972,1.0909169,2.3686283,8.744796,0.6927,0.0008,4232.0,76.0
210554781,8.114,0.015,7.555,0.035,7.349,0.015,10.17,18.365,1.145,1.6641779,nan,484.82904,20207.86638239195,1.0102,0.0215,4540.0,76.0
210744818,8.597,0.013,7.994,0.011,7.909,0.017,10.694,20.899,0.022,1.4703646,1.132101,3.0400488,15.869813,0.6734,0.0025,4501.0,76.0
246777832,8.667,0.015,8.034,0.007,7.895,0.019,11.26,21.872,0.016,1.5730047,1.097665,2.7696607,12.513073,0.6608,0.0028,4086.0,76.0
210771915,8.889,0.027,8.259,0.023,8.107,0.021,11.41,21.198,0.023,1.6597319,1.3560333,9.135997,29.416164,0.6392,0.0032,4141.0,78.0
246931087,8.214,0.019,7.592,0.039,7.374,0.017,11.103,20.164,0.088,1.8785448,4.1947284,64.90855,355.5059,0.9589,0.0111,3885.0,76.0
246732310,8.796,0.021,8.145,0.021,7.967,0.013,11.676,21.093,0.391,1.871623,20.36813,272.99252,14581.153,0.6618,0.0063,3891.0,76.0
210651981,8.592,0.013,7.956,0.021,7.711,0.021,12.131,20.918,0.403,2.2351828,15.092351,197.42859,9420.039,0.7929,0.0756,3567.0,42.0
246806983,8.974,0.007,8.277,0.019,8.102,0.009,12.082,19.117,0.398,1.9913149,18.85386,203.26924,11646.188,0.6734,0.0068,3761.0,42.0
246862801,9.415,0.021,8.773,8.888,8.543,0.015,12.422,20.765,0.019,1.9819012,1.1263552,3.6162808,25.29703,0.5789,0.0024,3814.0,44.0
210741091,9.594,0.019,8.958,0.018,8.706,0.016,12.728,18.57,0.032,2.0487833,2.0377967,25.59694,64.58971,0.5914,0.0026,3748.0,43.0
210470484,10.471,0.019,9.869,0.021,9.621,0.017,14.465,20.283,0.016,2.5939026,1.2354041,5.333219,2.7614489,0.4108,0.0028,3396.0,43.0
210865372,10.484,0.017,9.831,0.017,9.612,0.02,14.67,22.244,0.022,2.6912184,1.2424577,4.716658,2.5266383,0.3803,0.0032,3331.0,42.0
246714118,10.563,0.014,9.954,0.02,9.712,0.016,14.714,20.133,0.366,2.7153435,3.9454203,61.759827,4232.8794,0.3988,0.0068,3342.0,42.0
210942999,11.355,0.018,10.774,0.017,10.475,0.018,16.67,28.351,0.032,3.191578,1.2270802,4.74369,8.017056,0.2012,0.0017,3001.0,42.0
210499476,10.733,0.017,10.159,0.013,9.851,0.016,15.482,35.675,0.028,3.1283264,1.3787595,7.6961555,9.386626,0.2135,0.0016,3155.0,42.0
211169647,8.704,0.027,8.042,0.031,7.893,0.021,11.211,22.514,0.016,1.6229076,1.223709,5.989534,16.64663,0.6517,0.0031,4151.0,78.0
211137806,12.96,0.022,12.412,0.035,12.056,0.025,nan,9.274,0.066,3.2418203,1.1384177,3.752196,5.293877,0.2998,0.004,nan,nan
210894955,12.063,0.021,11.414,0.024,11.096,0.018,17.79,34.728,0.075,3.822506,1.3141683,7.6073704,16.016111,0.1254,0.0009,2909.0,42.0
210704853,10.23,0.021,9.629,0.024,9.388,0.019,14.295,22.855,0.018,2.5698195,1.2765797,7.0711946,13.322636,0.4066,0.0031,3371.0,43.0
210365286,11.845,0.019,11.256,0.02,10.987,0.016,16.63,21.948,0.044,3.2001438,1.2253011,5.0757337,7.5764174,0.2054,0.0016,3145.0,42.0
211201094,8.717,0.023,8.065,0.017,7.885,0.013,11.563,27.961,0.021,1.8892336,1.1434606,3.612293,17.485224,0.5808,0.0021,3913.0,76.0
210941195,9.538,0.022,8.914,0.019,8.704,0.015,13.066,24.753,0.022,2.27386,1.5739901,15.301198,43.979336,0.4906,0.0025,3571.0,43.0
210579563,11.269,0.018,10.661,0.022,10.382,0.016,15.87,23.772,0.028,3.0018263,1.3792962,9.446195,10.439912,0.2523,0.0019,3199.0,42.0
211026112,11.518,0.021,10.913,0.024,10.651,0.016,16.85,22.647,0.029,3.0661526,1.2022967,5.414056,5.9064355,0.2334,0.0018,2996.0,42.0
210769813,11.579,0.021,10.97,0.024,10.697,0.02,16.13,20.785,0.032,3.0044937,1.205549,5.640442,5.171829,0.2495,0.0024,3215.0,42.0
210419589,10.26,0.018,9.615,0.02,9.344,0.015,14.812,22.207,0.187,2.9850235,14.231843,188.93483,1914.4037,0.4239,0.0039,3214.0,42.0
210523892,12.779,0.019,12.203,0.024,11.859,0.018,17.76,22.027,0.069,3.6208982,1.1325415,3.9411607,8.812953,0.1376,0.0011,3089.0,42.0
210742592,11.918,0.017,11.338,0.021,11.063,0.016,16.47,18.549,0.037,3.06038,1.1715671,5.0156183,5.926574,0.2358,0.0019,3214.0,42.0
210744677,11.341,0.019,10.756,0.018,10.471,0.016,16.095,18.674,0.037,3.0989647,1.431374,9.460633,9.552522,0.3088,0.0023,3154.0,42.0
211036776,9.38,0.023,8.792,0.024,8.529,0.023,12.861,21.743,0.048,2.4401073,1.0887728,2.009557,74.191124,0.5652,0.0038,3591.0,43.0
210963067,11.061,0.018,10.497,0.027,10.165,0.016,13.429,21.811,0.321,3.0595303,18.382572,215.89268,2099.5789,0.3044,0.005,4262.0,76.0
210490365,11.303,0.018,10.732,0.018,10.444,0.017,16.21,22.357,0.031,2.9613495,1.3029861,6.3980417,6.443741,0.2609,0.0021,3110.0,42.0
210497173,10.541,0.02,9.975,0.021,9.7,0.018,15.039,22.387,0.093,2.9282503,1.5574532,9.650976,120.41512,0.3644,0.0031,3231.0,42.0
210432080,10.925,0.016,10.321,0.018,10.049,0.017,15.81,25.253,0.024,2.8826962,1.2397223,4.997069,3.945809,0.2773,0.0022,3116.0,42.0
210408563,9.405,0.019,8.72,0.011,8.527,0.017,12.55,21.139,0.023,2.082737,1.3031068,6.2413063,21.019226,0.5753,0.0027,3743.0,43.0
210489127,11.224,0.017,10.638,0.02,10.365,0.015,15.653,21.125,0.027,2.8814716,1.077109,1.578531,0.6358587,0.2867,0.002,3252.0,42.0
210451321,10.871,0.016,10.276,0.022,10.017,0.015,15.035,19.12,0.027,2.7072926,1.4562858,9.38948,7.467324,0.3683,0.0024,3338.0,42.0
211019716,7.585,0.009,7.077,0.025,6.937,0.007,9.45,18.551,0.019,1.2301083,1.1132354,3.0209382,9.921509,1.0706,0.0037,4728.0,76.0
210700098,11.49,0.019,10.922,0.02,10.601,0.015,15.91,21.821,0.038,3.028245,1.1971184,4.1219845,3.6950138,0.2483,0.0018,3255.0,42.0
210923016,10.106,0.018,9.442,0.018,9.222,0.016,14.014,21.031,0.023,2.5429764,1.1849926,5.1129336,25.156605,0.4634,0.0027,3426.0,42.0
210736105,11.063,0.017,10.483,0.02,10.215,0.016,12.751,19.673,0.022,2.7881794,1.2785263,7.9781246,4.722848,0.3292,0.0024,4916.0,77.0
210899231,11.018,0.018,10.41,0.021,10.127,0.014,15.538,18.126,0.294,2.9615736,17.63464,236.6244,2952.4297,0.3693,0.0059,3224.0,42.0
210459199,11.296,0.018,10.686,0.02,10.441,0.014,15.66,20.327,0.029,2.862668,1.3977338,7.972373,3.9320302,0.2877,0.0019,3273.0,42.0
210828490,11.51,0.019,10.901,0.018,10.629,0.014,16.27,26.736,0.036,3.1887932,1.1433353,4.0111003,5.905286,0.1987,0.0013,3152.0,42.0
210846111,10.458,0.017,9.834,0.022,9.573,0.014,14.811,22.204,0.128,2.8771925,10.13076,153.27954,920.7529,0.387,0.003,3276.0,42.0
210878579,11.048,0.016,10.453,0.019,10.162,0.017,15.328,23.851,0.476,2.812479,3.564458,55.019337,6260.4175,0.2788,0.006,3300.0,42.0
210718930,12.353,0.018,11.772,0.02,11.494,0.016,16.92,17.01,0.038,3.0456114,1.0048102,0.1617493,0.0,0.21,0.0017,3210.0,42.0
210949810,10.867,0.017,10.253,0.018,9.999,0.014,15.241,23.217,0.021,2.8482285,1.1722838,4.5798,3.40259,0.3086,0.002,3270.0,42.0
210945848,8.627,0.017,8.066,0.017,7.886,0.013,10.86,21.972,0.016,1.5751286,1.0518627,1.3587915,7.8210473,0.6606,0.0019,4378.0,76.0
210754620,12.029,0.019,11.423,0.022,11.133,0.016,17.24,21.222,0.032,3.058339,1.1425462,4.1377645,3.504045,0.1984,0.0015,3027.0,42.0
210742017,11.645,0.016,11.075,0.021,10.776,0.018,16.88,20.499,0.32,3.2060423,10.618676,169.52486,2006.2919,0.2438,0.0044,3021.0,42.0
210667985,8.73,0.011,8.16,0.009,7.977,0.011,10.882,21.447,0.017,1.5973215,1.0993385,2.6696541,6.8375497,0.6549,0.0017,4450.0,76.0
210743724,11.01,0.016,10.387,0.02,10.13,0.017,14.821,16.168,0.018,2.500802,1.0847969,2.2937117,0.0,0.4082,0.0028,3461.0,42.0
210640966,11.189,0.018,10.589,0.019,10.316,0.015,15.56,--,--,3.1634903,nan,207.6834,5011.1300941999225,nan,nan,3271.0,42.0
210674207,11.119,0.017,10.557,0.021,10.253,0.015,16.45,19.428,0.032,3.1228762,1.1506572,3.917291,5.8209496,0.3276,0.0022,2997.0,42.0
210889984,8.724,0.011,8.076,0.015,7.936,0.017,nan,23.211,0.016,1.6734028,1.1111956,3.0745127,11.001968,0.6353,0.0026,nan,nan
247755982,11.489,0.019,10.882,0.022,10.574,0.02,16.44,21.186,0.028,3.0560608,1.1376319,4.2323422,4.900832,0.2593,0.0025,3097.0,42.0
210772187,11.045,0.018,10.453,0.02,10.186,0.017,16.41,19.231,0.375,3.0310307,16.237202,213.5847,3267.4753,0.3407,0.0068,2988.0,42.0
210552148,11.398,0.019,10.73,0.025,10.484,0.022,16.21,18.806,0.024,2.805253,1.2251562,6.4439683,3.906866,0.3048,0.0031,3137.0,42.0
210709514,8.152,0.019,7.655,0.005,7.533,0.011,10.2,19.76,0.168,1.2999792,10.631993,164.95692,2474.8347,0.896,0.0078,4547.0,77.0
210726910,10.053,0.016,9.467,0.02,9.219,0.017,14.222,19.128,0.023,2.7030401,1.0694257,1.9579724,20.285563,0.498,0.0028,3336.0,42.0
247799152,12.249,0.019,11.678,0.024,11.359,0.018,17.86,20.195,0.697,3.457778,13.132117,180.98044,1607.0242,0.1877,0.0068,2932.0,42.0
210566619,8.56,0.027,7.994,0.063,7.758,0.021,10.78,23.62,0.021,1.6662092,1.1496408,4.026476,14.241013,0.6563,0.0031,4389.0,79.0
210558541,10.266,0.023,9.625,0.029,9.374,0.017,14.314,21.633,0.018,2.6452227,1.2212473,5.9105353,4.460686,0.4283,0.0028,3377.0,43.0
210721261,9.571,0.018,8.947,0.02,8.69,0.017,13.31,23.142,0.021,2.393879,1.2102776,5.51605,18.857756,0.517,0.0028,3488.0,43.0
210491860,9.308,0.017,8.706,0.03,8.486,0.018,12.54,21.452,0.023,1.9621143,1.3198472,8.710195,45.439148,0.5767,0.0029,3701.0,43.0
247589423,9.096,0.018,8.496,0.013,8.368,0.017,11.101,16.982,0.019,1.4870806,1.2327719,6.485043,17.94124,0.6721,0.0025,4589.0,77.0
210596446,9.524,0.019,8.901,0.031,8.653,0.02,12.834,22.726,0.017,2.199377,1.2046871,5.547171,19.597422,0.5296,0.0033,3665.0,43.0
247523445,12.562,0.017,11.992,0.019,11.648,0.018,18.34,24.654,0.063,3.7070951,1.0684454,2.1847372,8.223953,0.1357,0.0011,2900.0,42.0
247592661,9.248,0.015,8.579,0.029,8.378,0.019,13.29,19.593,0.057,2.4070215,3.0084736,42.92205,263.16537,0.6241,0.003,3379.0,42.0
246707008,11.932,0.019,11.355,0.021,11.026,0.015,17.28,24.448,0.039,3.2821007,0.9887119,-0.2915494,2.6429877,0.1806,0.0013,2993.0,42.0
247556609,10.624,0.023,10.013,0.029,9.787,0.016,15.13,18.272,0.045,2.7076283,1.8883746,18.661768,21.676886,0.4207,0.0028,3228.0,43.0
247862511,11.588,0.019,10.973,0.018,10.676,0.016,16.55,22.336,0.032,3.047492,1.0567849,1.2630365,2.6594822,0.2339,0.0018,3094.0,42.0
246863569,10.895,0.018,10.281,0.021,10.037,0.019,15.61,20.317,0.02,2.7550125,1.1519803,4.016997,0.94406223,0.3452,0.0029,3165.0,42.0
