k2id ampk2 erk2 redk2 wnk2 ampk2sp erk2sp redk2sp wnk2sp amptess ertess redtess wntess amptqlp ertqlp redtqlp wntqlp shotk2 shottess pbest pbest_tqlp k2time tesstime
210899260 0.00549 0.00164 0.000974 0.000472 0.0165 0.00907 0.0387 0.00617 0.0042 0.00131 0.00059 0.000455 0.00471 0.00105 0.000583 0.000243 1.13e-05 0.000313 9.25 9.25 2457861.32 2459499.31
210666330 0.00407 0.00152 0.000127 0.000105 0.00412 0.00142 0.000611 0.000144 0.00385 0.00058 0.000603 0.00051 0.00388 0.000822 0.000629 0.00036 1.16e-05 0.000322 10.7 9.86 2457861.32 2459499.31
246794704 0.00894 0.00168 0.000521 9.38e-05 0.00913 0.00138 0.00064 0.000156 0.00515 0.00172 0.00068 0.000551 0.00731 0.00583 0.00133 0.000393 1.38e-05 0.000388 10.5 11.6 2457861.32 2458981.22
211049709 0.0102 0.000859 0.00042 0.00011 0.0107 0.00273 0.00982 0.00206 0.00708 0.00152 0.000622 0.000571 0.00732 0.00153 0.000602 0.000291 1.44e-05 0.000393 9.39 9.39 2457098.33 2459499.31
210674406 0.00506 0.000937 0.000296 6.59e-05 0.005 0.00119 0.000982 0.000193 0.0041 0.000984 0.000599 0.000672 0.00503 0.000789 0.000573 0.000334 1.75e-05 0.000463 11.6 11.3 2457098.34 2459499.31
210772796 0.000529 0.000113 0.000184 0.000183 0.00603 0.000785 0.000363 8.86e-05 0.00583 0.00135 0.00127 0.000722 0.00731 0.00234 0.00107 0.000382 1.75e-05 0.000489 11.8 11.8 2457098.34 2459499.31
210359769 0.00925 0.000567 0.000305 7.12e-05 0.00894 0.00116 0.00132 0.000272 0.0031 0.000611 0.000616 0.000701 0.00701 0.00569 0.00211 0.000753 1.85e-05 0.000482 11.8 11.8 2457098.34 2458981.22
211058178 0.00398 0.00199 0.000127 5.02e-05 0.00393 0.00217 0.000559 0.000179 0.00274 0.000843 0.000904 0.000732 0.00308 0.000536 0.00068 0.000375 1.88e-05 0.000486 12.8 12.3 2457098.34 2459486.07
247134293 0.00766 0.000945 0.000312 5.73e-05 0.00842 0.000604 0.00164 0.000354 0.00643 0.000548 0.0011 0.00126 0.00734 0.000473 0.000614 0.00042 1.93e-05 0.000538 11.8 10.4 2457861.32 2459499.31
210551925 0.00777 0.00222 0.000327 8.89e-05 0.00827 0.0021 0.00123 0.000273 0.00503 0.0011 0.00043 0.000702 0.218 0.181 0.187 0.242 1.99e-05 0.00052 11.8 9.25 2457861.32 2459512.32
