k2id,jmag,jmag_er,hmag,hmag_er,kmag,kamg_er,vmag,plx,plx_er,bprp,ruwe,gof_al,d,mass,mass_er,teff,teff_er
210991540,13.583,0.019,13.006,0.024,12.749,0.022,18.24,8.084,0.089,2.9042673,1.1157457,2.305743,2.7364674,0.2494,0.0038,3159.0,42.0
211016313,13.135,0.019,12.486,0.019,12.254,0.018,17.59,7.168,0.051,2.8502302,1.0598495,1.3129764,1.2522348,0.3522,0.0036,3220.0,42.0
211029135,13.984,0.023,13.369,0.026,13.056,0.027,18.89,7.275,0.09,3.2413683,1.0421113,0.8915689,0.7802931,0.2404,0.0044,3086.0,43.0
211037397,13.456,0.021,12.825,0.022,12.54,0.021,18.03,7.256,0.076,3.1520405,1.0198,0.43253118,0.49396998,0.3066,0.0043,3184.0,42.0
210946764,9.897,0.013,9.522,0.014,9.425,0.018,11.441,7.557,0.019,0.9996071,1.04441,0.92563033,19.72559,0.9868,0.003,5044.0,77.0
211002011,10.259,0.016,9.787,0.019,9.669,0.011,12.09,7.941,0.014,1.1512814,0.8459248,-3.235591,5.7821746,0.8439,0.0039,4727.0,77.0
210997742,14.158,0.023,13.525,0.027,13.292,0.033,18.7,7.228,0.082,3.0366163,0.96708107,-0.68529415,1.3137939e-15,0.2162,0.0042,3193.0,43.0
210989751,14.899,0.031,14.27,0.044,13.926,0.042,nan,7.225,0.181,3.5191135,0.9782551,-0.4066651,1.4105458e-15,0.1608,0.005,nan,nan
210943453,12.403,0.02,11.798,0.013,11.566,0.018,16.18,7.139,0.036,2.444869,1.1119909,2.184007,2.695983,0.464,0.0035,3450.0,43.0
211051561,14.083,0.026,13.504,0.026,13.185,0.027,19.14,7.419,0.098,3.374771,1.0343736,0.81440187,1.7323917,0.2215,0.0042,3044.0,43.0
210990525,8.831,0.019,8.599,0.019,8.541,0.014,9.85,7.533,0.019,0.7007408,1.1501563,3.065714,15.735787,1.1868,0.003,nan,nan
210966931,12.87,0.019,12.244,0.02,12.023,0.019,16.88,7.153,0.044,2.672079,1.0524058,1.1216718,1.0526253,0.3888,0.0037,3366.0,43.0
210964488,14.152,0.023,13.571,0.031,13.271,0.032,19.45,7.102,0.122,3.2268066,0.8975878,-2.1997879,5.7132354,0.2224,0.0052,2981.0,42.0
210817078,12.826,0.02,12.22,0.017,11.959,0.019,17.54,11.112,0.044,3.0172968,1.0527823,1.1815308,0.85912585,0.2614,0.0026,3142.0,42.0
211051975,14.004,0.022,13.401,0.023,13.079,0.028,19.08,7.318,0.094,3.2489004,0.99358135,-0.08677947,0.0,0.2363,0.0044,3039.0,42.0
210977505,11.346,0.023,10.703,0.03,10.563,0.025,14.189,7.137,0.062,1.7697496,3.6502388,40.845703,102.343254,0.6256,0.0048,3868.0,76.0
211065162,10.468,0.018,10.026,0.021,9.903,0.018,12.283,7.034,0.014,1.1977539,1.1092664,2.2329075,8.950961,0.8537,0.0062,4743.0,77.0
211010818,14.223,0.023,13.642,0.027,13.273,0.029,nan,7.493,0.125,3.3112183,1.0043994,0.12537147,0.0,0.2102,0.0046,nan,nan
210940129,13.87,0.023,13.284,0.021,12.919,0.023,19.14,--,--,3.3665743,nan,122.8261,2125.5673093584146,nan,nan,2988.0,42.0
211013159,13.435,0.02,12.77,0.019,12.55,0.02,17.83,7.99,0.08,3.010007,0.99770606,-0.012957451,0.3959222,0.2772,0.0038,3239.0,42.0
210960579,8.141,0.013,7.946,0.009,7.902,0.023,9.17,7.514,0.083,0.68768597,2.289574,21.475082,360.34845,1.4249,0.0177,nan,nan
211013046,13.666,0.022,13.061,0.019,12.81,0.022,18.19,6.922,0.093,2.98246,1.0305912,0.6319317,0.0,0.2839,0.0048,3199.0,43.0
210956678,13.956,0.023,13.363,0.024,13.072,0.023,19.25,7.418,0.116,3.3530045,0.9769417,-0.40406278,0.0,0.2338,0.0046,2982.0,42.0
211025925,12.976,0.022,12.341,0.021,12.068,0.02,17.19,7.531,0.051,2.7755547,1.1183434,2.4235172,2.1900606,0.3642,0.0038,3297.0,43.0
210969800,9.018,0.025,8.775,0.021,8.696,0.015,10.13,7.388,0.016,0.74436855,0.8698339,-2.6635008,4.2068143,1.1609,0.005,nan,nan
211008438,11.899,0.017,11.247,0.021,11.036,0.017,15.156,7.413,0.025,2.1313496,1.1676027,3.524617,1.4677532,0.5379,0.003,3665.0,43.0
210803812,13.125,0.017,12.497,0.023,12.214,0.021,nan,7.145,0.052,2.8589773,1.0487051,1.0020244,0.3054602,0.3593,0.004,nan,nan
211081065,13.072,0.019,12.471,0.033,12.201,0.024,nan,7.182,0.057,2.9054127,0.967869,-0.6410105,0.0,0.3596,0.0045,nan,nan
211058468,13.276,0.02,12.655,0.019,12.406,0.017,16.12,7.279,0.06,2.9563942,0.97891575,-0.4269234,0.0,0.3247,0.0036,3868.0,76.0
210946466,12.767,0.015,12.122,0.017,11.893,0.017,16.73,7.102,0.044,2.6199179,1.1068015,1.9942144,2.0285056,0.4121,0.0035,3383.0,42.0
210979439,13.624,0.021,12.982,0.023,12.73,0.022,18.43,7.605,0.085,3.0836725,0.9682968,-0.6648322,0.0,0.2679,0.0041,3115.0,42.0
211063235,12.643,0.023,12.004,0.029,11.83,0.02,16.77,7.271,0.041,2.6416683,1.0578907,1.26622,1.3194447e-15,0.4141,0.0038,3326.0,43.0
211054634,12.675,0.019,12.073,0.019,11.834,0.017,17.18,7.735,0.051,2.9731255,1.0551088,1.1414003,1.1497785,0.3918,0.0035,3205.0,42.0
211049486,14.475,0.028,13.827,0.028,13.502,0.038,19.19,7.11,0.153,3.3081036,1.0817424,1.7832303,1.7539817,0.1991,0.0057,3141.0,43.0
211077682,14.362,0.026,13.7,0.037,13.452,0.04,nan,7.8,0.134,3.465557,0.9772612,-0.42562646,0.0,0.1853,0.0048,nan,nan
210978953,13.921,0.021,13.29,0.024,13.052,0.028,nan,7.401,0.105,3.141098,0.99503756,-0.07362517,0.42319047,0.2366,0.0047,nan,nan
211077833,14.371,0.036,13.812,0.05,13.541,0.035,19.59,7.331,0.123,3.2340565,0.79382396,-4.1924176,0.31691706,0.1894,0.0045,3001.0,43.0
211088075,14.749,0.038,14.049,0.046,13.807,0.049,nan,6.774,0.201,3.579712,0.9887101,-0.1566434,2.0373225,0.1811,0.0069,nan,nan
211058381,13.649,0.02,13.029,0.027,12.766,0.026,18.33,7.508,0.076,2.947198,0.8909109,-2.3846588,1.3082152e-15,0.2669,0.0043,3151.0,42.0
211070495,13.76,0.026,13.139,0.033,12.831,0.028,18.47,7.744,0.08,3.0651522,1.0323466,0.7125067,1.516047,0.2508,0.0043,3143.0,43.0
211069863,12.618,0.019,11.943,0.033,11.685,0.022,nan,6.713,0.041,2.635684,1.0801526,1.6615225,1.1475592,0.4664,0.0043,nan,nan
211079106,13.441,0.025,12.828,0.029,12.517,0.025,17.9,7.448,0.066,3.0038986,0.97000706,-0.56316686,0.0,0.302,0.0043,3219.0,43.0
211095259,10.082,0.015,9.659,0.027,9.556,0.019,11.863,7.365,0.035,1.1079693,1.7613467,13.752995,66.69592,0.9618,0.0123,4779.0,77.0
211036360,11.949,0.015,11.268,0.019,11.057,0.015,14.294,7.488,0.028,2.1775074,1.0477535,1.0057884,0.8726903,0.5309,0.0028,4240.0,76.0
211044536,9.585,0.015,9.241,0.019,9.148,0.015,10.9,7.499,0.019,0.9111519,0.9385416,-1.2920165,7.7589993,1.0332,0.0025,5320.0,77.0
210872505,12.185,0.018,11.519,0.021,11.295,0.02,nan,7.59,0.025,2.4416447,1.0194958,0.46838033,0.0,0.4869,0.0035,nan,nan
211029757,15.037,0.037,14.401,0.041,14.038,0.046,nan,7.561,0.228,3.2688656,1.0336248,0.7178275,2.5080533,0.1464,0.0051,nan,nan
210888723,13.45,0.021,12.791,0.023,12.487,0.024,nan,7.335,0.06,3.0647564,0.99651676,-0.053109284,0.29794276,0.3108,0.0042,nan,nan
211028209,9.531,0.017,9.192,0.021,9.123,0.015,11.007,7.563,0.017,0.8932123,1.0724381,1.4261699,7.0294414,1.0342,0.0025,5124.0,78.0
210854098,14.616,0.027,13.996,0.036,13.706,0.046,nan,7.484,0.16,3.5184326,1.0394826,0.81787807,0.75101864,0.1717,0.0052,nan,nan
211039307,10.735,0.015,10.209,0.021,10.083,0.017,12.735,7.522,0.018,1.3631744,1.1481409,3.121276,6.5794706,0.6803,0.0026,4555.0,76.0
211078393,13.839,0.029,13.224,0.033,12.944,0.028,18.7,7.249,0.082,3.180622,1.0101063,0.2417788,0.66290647,0.2544,0.0045,3099.0,43.0
211046948,12.915,0.017,12.277,0.021,12.003,0.02,17.23,7.5,0.048,2.7386227,1.0471059,0.9636875,0.25298434,0.3757,0.0038,3265.0,42.0
211053922,14.635,0.027,14.019,0.029,13.757,0.04,nan,7.602,0.21,3.4947357,1.036338,0.72768056,0.8535032,0.1651,0.0054,nan,nan
210865020,12.119,0.018,11.47,0.017,11.239,0.021,14.462,--,--,2.7980347,nan,180.26227,4020.064349395367,nan,nan,4242.0,77.0
211026087,11.451,0.015,10.787,0.019,10.631,0.015,14.084,7.224,0.018,1.7266588,1.0215166,0.4946376,0.0,0.6111,0.0025,4013.0,76.0
211055424,13.691,0.019,13.043,0.026,12.781,0.025,nan,7.412,0.085,3.1227102,0.9455469,-1.0686866,0.0,0.2685,0.0044,nan,nan
211089510,14.28,0.029,13.57,0.031,13.347,0.028,nan,7.417,0.126,3.4147701,0.92650163,-1.5112522,4.398686,0.2051,0.0045,nan,nan
211059880,13.262,0.019,12.629,0.028,12.342,0.022,16.42,7.468,0.063,2.9083538,1.125092,2.4857183,1.291316,0.3259,0.0042,3713.0,43.0
210940436,13.555,0.019,12.857,0.024,12.536,0.024,nan,7.3,0.072,3.300394,0.98250765,-0.36247596,0.587321,0.3054,0.0045,nan,nan
211018106,13.646,0.022,13.082,0.029,12.822,0.023,18.35,7.354,0.065,3.13842,0.97007865,-0.6578988,0.0,0.2655,0.0037,3145.0,43.0
