k2id,jmag,jmag_er,hmag,hmag_er,kmag,kamg_er,vmag,plx,plx_er,bprp,ruwe,gof_al,d,mass,mass_er,teff,teff_er
211016313,13.135,0.019,12.486,0.019,12.254,0.018,17.59,7.168,0.051,2.8502302,1.0598495,1.3129764,1.2522348,0.3522,0.0036,3220.0,42.0
211037397,13.456,0.021,12.825,0.022,12.54,0.021,18.03,7.256,0.076,3.1520405,1.0198,0.43253118,0.49396998,0.3066,0.0043,3184.0,42.0
210946764,9.897,0.013,9.522,0.014,9.425,0.018,11.441,7.557,0.019,0.9996071,1.04441,0.92563033,19.72559,0.9868,0.003,5044.0,77.0
211002011,10.259,0.016,9.787,0.019,9.669,0.011,12.09,7.941,0.014,1.1512814,0.8459248,-3.235591,5.7821746,0.8439,0.0039,4727.0,77.0
210997742,14.158,0.023,13.525,0.027,13.292,0.033,18.7,7.228,0.082,3.0366163,0.96708107,-0.68529415,1.3137939e-15,0.2162,0.0042,3193.0,43.0
210943453,12.403,0.02,11.798,0.013,11.566,0.018,16.18,7.139,0.036,2.444869,1.1119909,2.184007,2.695983,0.464,0.0035,3450.0,43.0
211051561,14.083,0.026,13.504,0.026,13.185,0.027,19.14,7.419,0.098,3.374771,1.0343736,0.81440187,1.7323917,0.2215,0.0042,3044.0,43.0
210966931,12.87,0.019,12.244,0.02,12.023,0.019,16.88,7.153,0.044,2.672079,1.0524058,1.1216718,1.0526253,0.3888,0.0037,3366.0,43.0
210964488,14.152,0.023,13.571,0.031,13.271,0.032,19.45,7.102,0.122,3.2268066,0.8975878,-2.1997879,5.7132354,0.2224,0.0052,2981.0,42.0
210817078,12.826,0.02,12.22,0.017,11.959,0.019,17.54,11.112,0.044,3.0172968,1.0527823,1.1815308,0.85912585,0.2614,0.0026,3142.0,42.0
211051975,14.004,0.022,13.401,0.023,13.079,0.028,19.08,7.318,0.094,3.2489004,0.99358135,-0.08677947,0.0,0.2363,0.0044,3039.0,42.0
211065162,10.468,0.018,10.026,0.021,9.903,0.018,12.283,7.034,0.014,1.1977539,1.1092664,2.2329075,8.950961,0.8537,0.0062,4743.0,77.0
