k2id ampk2 erk2 redk2 wnk2 ampk2sp erk2sp redk2sp wnk2sp amptess ertess redtess wntess amptqlp ertqlp redtqlp wntqlp shotk2 shottess pbest pbest_tqlp k2time tesstime
211016313 0.0224 0.00607 7.08e-18 0.00839 0.0411 0.0164 1.23e-17 0.016 0.02 0.00457 0.0107 0.0293 0.0442 0.065 0.0237 0.0296 0.000408 0.0092 0.319 0.319 2457098.34 2459486.07
211037397 0.0076 0.00227 0.000414 0.00393 0.0419 0.0187 1.29e-17 0.0149 0.0139 0.0128 0.016 0.0332 nan nan nan nan 0.000541 0.00981 0.499 1.86 2457098.34 2459486.07
210946764 0.00355 0.000643 0.000142 0.0001 0.00438 0.00121 0.00203 0.000737 0.00246 0.00128 0.00141 0.00165 0.00295 0.00227 0.00151 0.00112 3.64e-05 0.00107 5.78 5.73 2457098.34 2459486.07
211002011 0.0116 0.00606 0.000565 0.00026 0.0114 0.00576 0.0038 0.00112 0.011 0.00174 0.00133 0.00203 0.0113 0.00165 0.00237 0.00144 4.54e-05 0.00132 7.61 6.76 2457098.34 2459486.07
210997742 0.008 0.00217 2.26e-18 0.00452 0.103 0.0631 3.4e-17 0.0408 0.0136 0.00671 0.0265 0.0692 nan nan nan nan 0.000776 0.0149 0.374 0.374 2457098.34 2459486.07
210943453 0.00745 0.00269 2.26e-18 0.00229 0.0207 0.00968 7.03e-18 0.00661 0.0215 0.0028 0.00582 0.015 0.0216 0.00335 0.00508 0.0112 0.00023 0.00563 0.414 0.827 2457098.34 2459486.07
211051561 0.014 0.00309 8.22e-18 0.00718 0.0365 0.0161 0.00187 0.0136 0.0301 0.0582 0.0251 0.0568 nan nan nan nan 0.000778 0.0118 0.473 0.71 2457098.33 2459486.07
210966931 0.00733 0.00201 0.00218 0.00224 0.0238 0.00931 0.0132 0.00739 0.0137 0.00713 0.00881 0.0229 0.0117 0.00399 0.00714 0.0181 0.000315 0.00807 1.89 1.9 2457098.34 2459486.07
210964488 0.00818 0.00196 0.000499 0.00485 0.0414 0.0176 0.00241 0.0196 0.0224 0.0127 0.0286 0.0591 nan nan nan nan 0.00077 0.0123 0.494 2.16 2457098.34 2459486.07
211051975 0.0208 0.00674 7.13e-18 0.00938 0.0529 0.0182 1.5e-17 0.0199 0.0303 0.0347 0.0249 0.0673 nan nan nan nan 0.000739 0.0134 0.549 0.549 2457098.34 2459486.07
