k2id,jmag,jmag_er,hmag,hmag_er,kmag,kamg_er,vmag,plx,plx_er,bprp,ruwe,gof_al,d,mass,mass_er,teff,teff_er
211990866,9.463,0.023,9.242,0.029,9.182,0.016,10.74,5.472,0.024,0.73941326,0.9493312,-1.1059061,9.552491,1.1974,0.0037,5397.0,80.0
211974702,10.294,0.02,9.985,0.019,9.911,0.016,11.584,5.418,0.02,0.9111614,1.0186185,0.4825822,20.7358,1.0242,0.0028,5381.0,79.0
211949471,9.64,0.018,9.401,0.019,9.336,0.018,10.98,5.412,0.021,0.74009514,1.0117242,0.2942362,9.14073,1.1715,0.0046,5319.0,78.0
211942823,9.565,0.016,9.357,0.021,9.259,0.018,10.8,5.463,0.021,0.7423172,0.82496595,-4.1046195,4.062519,1.1828,0.004,5450.0,78.0
212011152,10.358,0.023,10.012,0.03,9.932,0.017,11.79,5.417,0.022,0.93311596,0.8620905,-3.0389366,13.665245,1.0209,0.003,5207.0,80.0
211939206,9.283,0.018,9.091,0.021,9.008,0.018,10.51,5.429,0.021,0.6705103,0.8932787,-2.4450333,7.513469,1.2357,0.004,5461.0,78.0
211969807,12.878,0.022,12.252,0.021,12.014,0.019,15.989,5.343,0.05,2.2655897,1.085452,1.8616942,1.3509799,0.4938,0.0046,3758.0,43.0
211994910,13.163,0.02,12.48,0.021,12.285,0.023,17.95,5.389,0.066,2.7015753,1.0366048,0.8480973,0.0,0.4459,0.0058,3142.0,42.0
211934056,10.47,0.026,10.12,0.029,10.038,0.018,11.773,5.375,0.018,0.94846725,0.84978527,-3.481402,7.1786995,1.0069,0.0031,5365.0,82.0
211986537,11.833,0.018,11.176,0.021,11.022,0.016,14.228,5.506,0.018,1.6525707,0.9908296,-0.23083416,0.0,0.6411,0.0026,4237.0,76.0
211983461,10.079,0.023,9.791,0.028,9.689,0.018,11.543,5.389,0.024,0.83186054,0.96969515,-0.63546103,15.333084,1.0548,0.0023,5169.0,80.0
212012299,10.78,0.017,10.408,0.019,10.291,0.013,12.353,5.399,0.015,1.0695887,0.89057904,-2.7455304,2.254675,0.927,0.0082,5042.0,77.0
211935518,10.026,0.018,9.732,0.023,9.643,0.017,11.338,5.436,0.024,0.8957205,1.2347515,6.8819323,57.586094,1.0578,0.0022,5353.0,78.0
211950886,13.758,0.03,13.117,0.035,12.903,0.025,18.7,5.386,0.089,2.8124619,1.0392988,0.8216908,0.17225538,0.3477,0.0066,3098.0,43.0
211960649,11.455,0.019,10.896,0.019,10.762,0.018,13.46,5.404,0.015,1.4040613,1.0093707,0.29534748,0.0,0.6858,0.0028,4585.0,77.0
211982334,10.392,0.02,10.083,0.018,9.928,0.015,11.663,5.501,0.023,0.92942333,1.0030555,0.1069485,27.68805,1.0163,0.0028,5405.0,79.0
211950081,10.035,0.016,9.626,0.023,9.533,0.019,11.491,5.419,0.029,1.07234,0.977609,-0.4727515,20.8617,1.1086,0.0094,5178.0,77.0
211949163,14.242,0.023,13.608,0.04,13.358,0.04,19.34,5.984,0.132,2.9611206,1.0783848,1.701608,1.4499387,0.2546,0.0075,3055.0,42.0
212009294,11.781,0.018,11.171,0.019,10.999,0.016,14.174,5.521,0.019,1.6837988,1.0561802,1.3246114,0.053538848,0.6437,0.0026,4238.0,76.0
211967293,10.719,0.022,10.315,0.025,10.213,0.018,12.162,5.305,0.016,1.0265741,0.9183293,-2.1051176,6.731542,0.9837,0.003,5194.0,79.0
212021375,10.492,0.018,10.164,0.022,10.077,0.017,11.819,5.345,0.022,0.9525986,1.0621772,1.3898633,11.1476145,1.0026,0.003,5335.0,78.0
211986948,11.867,0.02,11.209,0.019,11.051,0.018,14.265,5.485,0.02,1.6967402,0.9864926,-0.29032314,0.0,0.638,0.003,4234.0,77.0
211988324,11.359,0.02,10.799,0.019,10.683,0.019,13.485,5.283,0.025,1.4263277,1.311988,8.762395,9.232586,0.7989,0.0079,4471.0,77.0
212004983,10.185,0.02,9.853,0.019,9.774,0.018,11.419,5.437,0.035,0.88248634,1.1639187,4.739601,52.574783,1.0432,0.0025,5452.0,79.0
211992034,10.34,0.018,10.035,0.022,9.938,0.017,11.664,5.386,0.024,0.9149208,1.0734861,1.6882201,22.307753,1.0219,0.0031,5338.0,78.0
211973205,11.006,0.02,10.557,0.019,10.435,0.017,12.655,5.341,0.018,1.1531754,0.9184701,-1.7343407,1.0688128,0.8756,0.0062,4956.0,78.0
211948895,14.527,0.034,13.926,0.034,13.601,0.038,19.63,5.344,0.124,3.0747185,1.0341936,1.0674684,1.8087871,0.2549,0.0076,3054.0,43.0
212002525,14.027,0.021,13.456,0.026,13.136,0.034,19.15,5.444,0.081,3.0078678,0.97730345,-0.5099651,0.0,0.3104,0.0066,3048.0,42.0
211960587,10.706,0.02,10.262,0.019,10.169,0.016,12.166,5.377,0.016,1.040906,0.85208446,-3.4194467,3.2899113,0.986,0.0027,5173.0,79.0
211946063,13.19,0.02,12.562,0.021,12.327,0.02,17.66,5.338,0.053,2.543744,0.9646258,-0.79189485,0.0,0.4424,0.0049,3238.0,42.0
212025814,12.324,0.018,11.664,0.022,11.454,0.022,15.524,5.438,0.036,2.0660715,1.3684142,9.0556555,9.684597,0.5786,0.0042,3714.0,43.0
211936017,11.426,0.024,10.86,0.029,10.757,0.02,13.315,5.311,0.016,1.3775654,0.98745865,-0.2651346,0.0,0.6921,0.0031,4701.0,79.0
212019439,10.825,0.018,10.399,0.019,10.313,0.018,12.366,5.363,0.015,1.0784454,0.939541,-1.366454,3.1034253,0.9228,0.0109,5078.0,78.0
211970147,11.282,0.018,10.739,0.018,10.64,0.018,13.083,5.396,0.019,1.2996044,0.93437254,-1.398641,3.5212271,0.7978,0.0072,4792.0,77.0
211990953,11.243,0.02,10.717,0.019,10.599,0.015,13.168,5.316,0.02,1.3156576,1.0840441,2.3772745,9.5314045,0.8244,0.0057,4664.0,78.0
212015396,10.318,0.018,9.891,0.024,9.776,0.018,11.818,5.537,0.025,1.0143957,1.2337991,7.09565,38.52993,1.0381,0.0031,5126.0,78.0
211940093,10.73,0.018,10.372,0.019,10.259,0.017,12.284,5.533,0.017,1.1008692,0.92464536,-1.8520423,4.4089136,0.915,0.0104,5063.0,78.0
212075775,10.386,0.016,10.021,0.018,9.974,0.016,11.879,5.364,0.022,0.9148216,1.069146,1.6964985,13.127246,1.0177,0.0029,5134.0,77.0
211938350,14.401,0.027,13.863,0.044,13.547,0.038,19.49,5.266,0.125,2.9389668,0.9712896,-0.7860975,0.0,0.2655,0.008,3057.0,43.0
211989144,14.456,0.031,13.808,0.032,13.565,0.036,19.96,5.267,0.14,2.9377766,1.0421504,1.3091582,1.4860873,0.2632,0.0084,2954.0,43.0
212010154,12.054,0.018,11.382,0.022,11.21,0.018,14.19,5.291,0.022,1.8124437,1.0060458,0.19768824,0.0,0.6258,0.0031,4461.0,77.0
211989950,11.746,0.02,11.139,0.019,10.989,0.015,14.138,5.362,0.023,1.6396637,1.0208546,0.5891283,0.0,0.6547,0.0026,4239.0,77.0
211993172,11.634,0.022,11.036,0.023,10.871,0.017,13.941,5.396,0.019,1.5593233,0.91776204,-2.3769083,0.0,0.6702,0.0028,4310.0,77.0
211905676,14.311,0.02,13.729,0.033,13.47,0.03,19.39,5.475,0.118,2.915245,0.99750155,-0.022524582,0.0,0.2645,0.0069,3060.0,42.0
211996321,11.884,0.02,11.22,0.021,11.071,0.018,14.216,5.398,0.018,1.692482,0.9763512,-0.6989878,0.0,0.6402,0.0029,4289.0,77.0
211988832,14.754,0.036,14.172,0.044,13.884,0.05,19.96,5.32,0.21,3.1033955,1.0355402,1.0787463,4.586804,0.2239,0.0106,3026.0,43.0
211959779,10.556,0.015,10.24,0.019,10.133,0.018,11.952,5.228,0.019,0.975317,0.8695365,-2.875411,4.7800903,1.0014,0.0031,5250.0,77.0
211936906,10.012,0.019,9.698,0.021,9.655,0.018,11.47,5.215,0.032,0.817359,1.0717934,1.516952,18.093458,1.0893,0.0112,5176.0,78.0
211931128,10.763,0.02,10.346,0.024,10.257,0.017,12.281,5.525,0.019,1.088026,0.9699022,-0.6701997,4.4916162,0.9178,0.0106,5105.0,79.0
211978779,11.817,0.018,11.088,0.019,10.974,0.016,14.112,5.345,0.022,1.6346388,1.0852654,2.6936362,0.0,0.6579,0.0027,4320.0,77.0
211914098,12.581,0.017,11.901,0.017,11.713,0.021,16.45,5.406,0.037,2.1281166,1.0530388,1.2416842,0.8654984,0.5391,0.0042,3438.0,42.0
211932539,11.54,0.018,10.944,0.017,10.833,0.013,13.605,5.367,0.015,1.4516087,0.98631454,-0.3780391,0.0,0.6775,0.0021,4528.0,77.0
211928486,11.394,0.017,10.848,0.019,10.696,0.014,13.433,5.357,0.014,1.4022284,1.0235926,0.71113604,0.0,0.6984,0.0459,4552.0,77.0
211994382,14.869,0.04,14.268,0.05,13.985,0.038,19.93,5.647,0.188,3.1264534,1.0237923,0.52144,0.7092126,0.2006,0.0078,3065.0,43.0
211909748,10.769,0.023,10.306,0.025,10.154,0.019,12.759,5.468,0.022,1.2351227,1.106098,2.9590995,8.810486,0.9827,0.0037,4600.0,78.0
211901402,12.11,0.017,11.431,0.022,11.289,0.017,14.958,5.492,0.024,1.8634634,1.0557474,1.2233906,0.0,0.6012,0.003,3907.0,76.0
211900700,10.766,0.02,10.35,0.024,10.262,0.016,12.334,5.43,0.021,1.0597439,1.2665277,7.4133835,21.257875,0.9366,0.0103,5047.0,78.0
212031189,14.279,0.021,13.685,0.029,13.359,0.03,19.31,5.234,0.108,2.9302845,1.0492122,1.0692245,1.6441512,0.2915,0.0072,3073.0,42.0
211936827,10.66,0.018,10.242,0.017,10.173,0.013,12.163,5.439,0.018,1.0341082,1.296237,8.548169,26.98203,0.9815,0.003,5123.0,78.0
211913977,11.162,0.02,10.678,0.021,10.536,0.017,12.892,5.396,0.019,1.2216587,0.9939663,-0.14332366,4.4331937,0.8345,0.0062,4867.0,78.0
211950941,11.556,0.018,11.025,0.019,10.826,0.017,13.642,5.466,0.018,1.5036154,0.9669587,-0.76533574,1.1904544e-15,0.6727,0.0027,4508.0,77.0
212017838,13.335,0.017,12.68,0.024,12.482,0.019,17.43,5.396,0.056,2.8010626,0.95447,-1.4283838,0.0,0.4132,0.0048,3359.0,42.0
211973760,13.721,0.021,13.126,0.032,12.842,0.023,18.46,5.494,0.068,2.7372808,0.9822629,-0.47960532,0.0,0.3504,0.0053,3156.0,42.0
211991662,14.356,0.029,13.746,0.034,13.448,0.029,18.5,5.407,0.106,2.9105434,1.0295398,0.768904,0.24508709,0.2707,0.0065,3343.0,43.0
211921859,13.671,0.022,13.058,0.028,12.826,0.031,17.63,5.255,0.076,2.6904688,1.1503222,3.808324,3.9596565,0.3677,0.0068,3406.0,43.0
211939484,12.952,0.02,12.358,0.021,12.103,0.017,17.14,5.491,0.04,2.377883,1.0246956,0.7391132,0.0,0.4693,0.0038,3328.0,43.0
211896979,11.333,0.02,10.84,0.021,10.677,0.017,13.295,5.377,0.026,1.3542347,1.115157,2.5174663,11.347415,0.787,0.0665,4627.0,78.0
211958260,10.725,0.023,10.341,0.03,10.244,0.016,12.241,5.566,0.016,1.0757818,0.87151825,-2.9262004,1.0052792,0.9162,0.0098,5107.0,80.0
211995082,13.483,0.023,12.825,0.025,12.594,0.024,18.04,5.492,0.052,2.5901403,1.0145177,0.44416726,0.0,0.389,0.005,3211.0,43.0
211932923,11.088,0.018,10.583,0.019,10.461,0.018,12.682,5.449,0.025,1.2305174,1.0465484,0.9835795,5.5714526,0.8525,0.0069,5018.0,78.0
211959786,10.931,0.02,10.467,0.022,10.363,0.017,12.507,5.272,0.016,1.1228657,1.0442061,1.0576607,4.8859277,0.9154,0.0105,5038.0,78.0
212075988,11.953,0.022,11.274,0.019,11.119,0.019,14.352,5.314,0.019,1.6908178,1.0849085,2.4215198,0.47770536,0.6381,0.0031,4233.0,77.0
211822797,12.277,0.022,11.605,0.033,11.429,0.015,15.133,5.363,0.024,1.9485092,1.0732845,2.1947434,1.8947807e-15,0.5874,0.0028,3902.0,76.0
212024554,14.483,0.027,13.842,0.032,13.599,0.041,19.64,5.418,0.107,2.9749985,1.0163996,0.4021894,2.4927487e-15,0.2516,0.0071,3039.0,43.0
211991549,13.77,0.024,13.113,0.024,12.897,0.022,18.5,5.305,0.074,2.741498,1.0790879,1.9271781,1.7593702,0.3536,0.0057,3159.0,43.0
211978972,14.379,0.034,13.734,0.043,13.403,0.038,19.3,5.327,0.107,2.9320488,1.0036862,0.12594497,0.0,0.2806,0.0076,3104.0,43.0
211948214,14.133,0.024,13.572,0.035,13.331,0.031,19.34,5.245,0.083,2.850463,1.0224798,0.6691229,0.68001795,0.2946,0.0063,3026.0,42.0
211971074,11.675,0.018,11.047,0.019,10.908,0.015,13.95,5.589,0.02,1.6181688,1.0128422,0.3993585,0.0,0.6534,0.0025,4337.0,77.0
211906187,11.759,0.015,11.156,0.019,11.004,0.013,13.906,5.396,0.023,1.5961456,1.047112,1.0690566,0.0,0.6504,0.0024,4451.0,76.0
212078811,12.883,0.02,12.263,0.023,12.006,0.023,16.89,5.641,0.066,2.3595219,1.0172217,0.5028914,17.42659,0.4756,0.0057,3389.0,43.0
