k2id ampk2 erk2 redk2 wnk2 ampk2sp erk2sp redk2sp wnk2sp amptess ertess redtess wntess amptqlp ertqlp redtqlp wntqlp shotk2 shottess pbest pbest_tqlp k2time tesstime
211990866 0.00591 0.00294 0.000811 0.000355 0.00644 0.00307 0.0004 0.000139 0.00692 0.0013 0.000606 0.00111 0.00744 0.00177 0.000833 0.000627 2.47e-05 0.000763 4.24 4.36 2457721.47 2459539.45
211974702 0.00217 0.00118 0.000125 7.08e-05 0.00208 0.00119 0.000674 0.000187 0.00138 0.000554 0.000781 0.00181 0.00232 0.00144 0.000912 0.00109 3.96e-05 0.0012 8.47 8.24 2457721.47 2459539.45
211949471 0.00442 0.0019 0.000298 0.0001 0.00456 0.0018 0.00174 0.000366 0.00289 0.000721 0.000669 0.0013 0.00735 0.00729 0.00174 0.00134 2.61e-05 0.000791 6.83 6.54 2457721.47 2459539.45
211942823 0.00627 0.0025 0.000767 0.000223 0.00636 0.00205 0.000954 0.000233 0.00985 0.000775 0.00061 0.00112 0.025 0.0227 0.00478 0.00128 2.57e-05 0.000817 5.78 6.76 2457721.47 2459512.32
212011152 0.00793 0.00335 0.000259 0.000101 0.0113 0.00737 0.0125 0.00193 0.00707 0.00228 0.000827 0.00187 0.0079 0.00234 0.000895 0.00114 4.14e-05 0.00126 9.11 8.84 2457721.47 2459539.45
211969807 0.00628 0.00203 0.000717 0.000676 0.0151 0.0104 0.0223 0.00452 0.00677 0.00336 0.00798 0.0195 0.0923 0.058 0.0224 0.015 0.000271 0.00664 16.7 15.8 2457721.47 2459539.45
211994910 0.0126 0.0042 0.000806 0.00363 0.0226 0.00961 0.00351 0.00581 0.00734 0.00339 0.0113 0.0305 0.0205 0.0192 0.0112 0.0227 0.000381 0.00824 0.738 2.53 2457721.47 2459539.45
211986537 0.00867 0.00354 0.00036 0.000214 0.00923 0.00337 0.00522 0.00137 0.00621 0.00103 0.00255 0.0065 0.0138 0.00724 0.0032 0.00437 0.000118 0.00336 13.4 15 2457721.47 2459539.45
211983461 0.00744 0.00242 0.000363 0.00011 0.0073 0.00237 0.000641 0.000156 0.00237 0.000434 0.000671 0.00151 0.00281 0.00152 0.000694 0.000838 3.39e-05 0.00106 7.91 8.02 2457721.47 2459539.45
212012299 0.00641 0.00278 0.000256 0.000122 0.00673 0.00286 0.00195 0.000535 0.0123 0.00184 0.00129 0.00257 0.0132 0.00254 0.00119 0.00141 5.46e-05 0.00167 4.77 4.7 2457721.47 2459539.45
211935518 0.0161 0.00779 0.00152 0.000547 0.0162 0.0081 0.000782 0.000217 0.0133 0.00216 0.00117 0.00173 0.0287 0.0182 0.00402 0.00207 3.59e-05 0.00104 4.18 4.01 2457721.47 2459539.45
211950886 0.0112 0.00368 0.00219 0.00243 0.03 0.0127 0.0361 0.0113 0.00769 0.00235 0.0139 0.0418 nan nan nan nan 0.000582 0.0107 4.56 4.89 2457721.47 2459539.45
211960649 0.00549 0.00235 0.000308 0.000198 0.0063 0.00229 0.00641 0.00145 0.0041 0.00164 0.00199 0.0045 0.015 0.0153 0.00416 0.00292 8.74e-05 0.00258 11.8 10.7 2457657.78 2459539.45
211982334 0.00339 0.000973 0.000115 7.31e-05 0.00355 0.000998 0.000668 0.000155 0.00159 0.000352 0.000691 0.00187 0.00266 0.00198 0.000862 0.00113 4.16e-05 0.00126 8.84 9.86 2457721.47 2459539.45
211950081 0.00382 0.00116 0.000145 6.69e-05 0.00434 0.00224 0.00349 0.000639 0.00283 0.000504 0.000724 0.00165 0.02 0.0233 0.00371 0.00196 3.82e-05 0.00114 10.4 6.61 2457721.47 2459539.45
211949163 0.0138 0.00333 0.00181 0.00437 0.0421 0.0204 0.02 0.011 0.0136 0.00571 0.0238 0.0752 nan nan nan nan 0.000704 0.014 1.27 1.27 2457721.47 2459539.45
212009294 0.00715 0.000749 0.00034 0.000211 0.00763 0.000952 0.0078 0.00183 0.00456 0.00104 0.00278 0.00626 0.00947 0.00679 0.00361 0.00442 0.000118 0.00337 14 11.1 2457721.47 2459539.45
211967293 0.00564 0.00185 0.000182 0.000104 0.00614 0.0017 0.00276 0.000664 0.00441 0.00157 0.00123 0.0024 0.00775 0.00402 0.00202 0.00162 5.13e-05 0.00153 9.11 9.39 2457721.47 2459539.45
212021375 0.00392 0.00164 0.000224 9.4e-05 0.00459 0.00211 0.0018 0.000416 0.00456 0.000762 0.000826 0.00201 0.0593 0.0629 0.0119 0.00244 4.44e-05 0.00136 8.84 9.54 2457721.47 2459539.45
211986948 0.00818 0.00163 0.000338 0.000273 0.0104 0.00423 0.0146 0.00319 0.00511 0.00142 0.00286 0.00681 0.0138 0.0132 0.00451 0.00479 0.000124 0.00333 14.3 11.3 2457721.47 2459539.45
211988324 0.00939 0.00446 0.000665 0.000273 0.0125 0.0074 0.0121 0.00238 0.00588 0.00308 0.00229 0.00428 0.0058 0.0026 0.00189 0.00269 8.9e-05 0.00253 10.9 11.3 2457721.47 2459539.45
212004983 0.00442 0.00106 0.000149 6.89e-05 0.00487 0.00125 0.00247 0.000443 0.00861 0.000314 0.00125 0.00164 0.0449 0.0379 0.0111 0.00115 3.68e-05 0.00113 8.97 18.2 2457721.47 2459539.45
211992034 0.00673 0.00316 0.00034 0.000116 0.00705 0.00347 0.00275 0.000547 0.00455 0.0019 0.00104 0.00184 0.0148 0.00974 0.00339 0.00142 4.04e-05 0.00124 8.97 6.61 2457721.47 2459539.45
211973205 0.00484 0.00152 0.000248 0.000117 0.00542 0.00164 0.00231 0.000473 0.00362 0.00126 0.00177 0.00303 0.00611 0.00409 0.00273 0.00204 6.38e-05 0.00181 10.5 9.86 2457721.47 2459539.45
211948895 0.0079 0.00328 0.00135 0.00608 0.099 0.076 0.0263 0.0302 0.00764 0.00461 0.0114 0.0295 nan nan nan nan 0.000936 0.00702 0.661 0.823 2457721.47 2459539.45
212002525 0.0334 0.00708 0.0091 0.00647 0.0582 0.0293 0.104 0.0218 0.0114 0.00252 0.0198 0.0458 nan nan nan nan 0.000686 0.0115 12.5 12.8 2457721.47 2459539.45
211960587 0.00923 0.00185 0.000367 0.00015 0.00989 0.00296 0.00246 0.000664 0.00697 0.0011 0.00133 0.00244 0.0228 0.0165 0.00385 0.00179 5.05e-05 0.0015 8.97 9.25 2457721.47 2459539.45
211946063 0.00567 0.00213 0.000838 0.00101 0.0287 0.0238 0.0485 0.0101 0.0045 nan 0.00951 0.0264 0.015 nan 0.0127 0.0262 0.000368 0.00733 22.2 12.5 2457721.47 2459512.32
212025814 0.00559 0.00323 0.000851 0.000513 0.0134 0.00733 0.0238 0.00548 0.00457 0.000199 0.00401 0.00971 0.0273 nan 0.00775 0.00797 0.000189 0.00437 17.2 27.3 2457721.47 2459539.45
212019439 0.0115 0.00299 0.000648 0.00024 0.0125 0.00326 0.0086 0.00166 0.0115 0.00204 0.00135 0.00264 0.0121 0.002 0.00143 0.00149 5.6e-05 0.00164 9.39 9.54 2457721.47 2459539.45
211970147 0.00988 0.00229 0.000564 0.000184 0.0109 0.0023 0.00532 0.00129 0.0051 0.00286 0.00205 0.00314 0.0401 0.0224 0.00922 0.00457 7.62e-05 0.00197 11.6 10.4 2457721.47 2459539.45
211990953 0.0108 0.00158 0.000433 0.000187 0.0118 0.00291 0.00518 0.00125 0.00916 0.00279 0.00163 0.00397 0.012 0.00389 0.00199 0.00229 7.83e-05 0.00227 11.3 11.1 2457721.47 2459539.45
212015396 0.0055 0.00153 0.000372 0.000134 0.0061 0.00158 0.00283 0.000732 0.00755 0.00109 0.00105 0.00189 0.008 0.00123 0.000902 0.00123 4.42e-05 0.00126 9.11 9.11 2457721.47 2459539.45
212075775 0.00407 0.00222 0.000176 9.29e-05 0.0068 0.00335 0.00502 0.0011 0.00208 0.000952 0.000675 0.00193 0.0024 0.000882 0.000584 0.00117 4.19e-05 0.00129 4.52 4.3 2457721.47 2459539.45
211938350 0.00963 0.0016 0.00329 0.00376 0.0344 0.0189 0.0527 0.0139 0.0142 0.0056 0.0237 0.0635 nan nan nan nan 0.000851 0.0114 20 12.8 2457721.47 2459539.45
211989144 0.00654 0.00322 0.00189 0.00525 0.1 0.0646 0.231 0.0434 0.0166 0.00889 0.0196 0.0526 nan nan nan nan 0.000921 0.0114 7.42 7.91 2457721.47 2459539.45
212010154 0.00458 0.00202 0.000789 0.00038 0.0249 0.0151 0.0392 0.00725 0.00426 0.00151 0.00268 0.00495 0.00552 0.00192 0.0048 0.00702 0.000152 0.00247 14.7 12.8 2457721.47 2459539.45
211989950 0.00456 0.00102 0.000149 0.000226 0.00626 0.00247 0.00547 0.00137 0.00424 0.00283 0.00266 0.00642 0.01 0.00958 0.00371 0.00423 0.000117 0.00336 6.83 6.01 2457721.47 2459539.45
211993172 0.00945 0.00164 0.000571 0.000368 0.00975 0.00248 0.00393 0.000927 0.00963 0.00379 0.00298 0.00548 0.00957 0.00285 0.00248 0.00348 0.000104 0.00291 12 11.8 2457721.47 2459539.45
211905676 0.0106 0.00485 0.0016 0.00471 0.143 0.105 0.034 0.0365 0.00528 0.000477 0.0272 0.0756 nan nan nan nan 0.000874 0.0137 1.12 0.555 2457721.47 2459538.18
211996321 0.0013 0.000514 0.000158 0.000233 0.00676 0.00335 0.0132 0.00284 0.00193 0.000876 0.00222 0.00669 0.00281 0.000769 0.00181 0.00455 0.000124 0.00333 14.3 12.3 2457721.47 2459539.45
211988832 0.00375 0.00129 0.00184 0.0067 0.0761 0.0357 0.0148 0.0194 0.00915 0.00411 0.0194 0.0511 nan nan nan nan 0.00107 0.00995 0.99 0.94 2457721.47 2459539.45
211959779 0.0104 0.00417 0.000606 0.000194 0.0107 0.00448 0.00367 0.000872 0.0073 0.00103 0.000935 0.00202 0.0147 0.00704 0.00294 0.00238 4.67e-05 0.00138 8.02 7.91 2457721.47 2459539.45
211978779 0.00578 0.000916 0.000199 0.00023 0.00636 0.00252 0.00583 0.00155 0.00823 0.00323 0.00359 0.00626 0.0186 0.0146 0.00648 0.00429 0.000115 0.00321 13.7 15.8 2457721.47 2459539.45
211932539 0.00154 0.000891 0.000206 0.000156 0.00775 0.00781 0.0162 0.00274 0.00106 nan 0.00202 0.00471 0.195 0.184 0.0725 0.018 9.25e-05 0.00269 14.7 14.7 2457721.47 2459512.32
211901402 0.0076 0.00153 0.000312 0.000282 0.026 0.0179 0.0488 0.00892 0.00481 0.00123 0.00389 0.00897 0.36 0.407 0.0919 0.02 0.000154 0.00409 14.7 13.1 2457721.47 2459539.45
212031189 0.00527 0.00192 0.00126 0.00391 0.283 0.198 0.253 0.0809 0.0221 0.0131 0.0249 0.0741 nan nan nan nan 0.000932 0.0133 2.2 2.64 2457721.47 2459539.45
211936827 0.0128 0.00512 0.000785 0.000213 0.0125 0.00482 0.00182 0.000451 0.00927 0.00294 0.00132 0.00237 0.142 0.183 0.0389 0.00784 4.96e-05 0.0015 7.91 6.83 2457721.47 2459539.45
212017838 0.0159 0.0109 0.00697 0.00353 0.115 0.081 0.2 0.0375 0.0126 0.000907 0.0168 0.0353 0.239 nan 0.0607 0.0307 0.000483 0.00961 27.3 14.7 2457721.47 2459552.22
211973760 0.011 0.00453 0.00129 0.00164 0.017 0.00739 0.0285 0.00656 0.0169 0.000657 0.0168 0.0476 nan nan nan nan 0.000464 0.01 13.4 13.1 2457721.47 2459539.45
211991662 0.0132 0.00419 0.00229 0.00378 0.0432 0.0103 0.0318 0.0121 0.0168 0.0108 0.0196 0.0494 nan nan nan nan 0.00071 0.0119 2.32 2.76 2457721.47 2459539.45
211921859 0.0145 0.00749 0.00385 0.00197 0.0293 0.0125 0.04 0.00993 0.00356 4.85e-05 0.0171 0.0476 nan nan nan nan 0.000497 0.0109 21.4 6.33 2457721.47 2459538.18
